# Sensor Lenin Avenue, Кировский район, Russia (Citizen Science project sensor.community/50231)
# https://aqicn.org/station/@158917/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-04-03T00:00:00.000Z,1.43,9.6,3.7,2.13,5.73,2.059,202
2021-04-04T00:00:00.000Z,3.28,22.25,7.3,4.47,10,4.99,187
2021-04-05T00:00:00.000Z,5.09,35.58,9.34,7.67,10.73,4.14,136
2021-04-06T00:00:00.000Z,4.72,11.93,7.43,6.18,8.34,1.581,189
2021-04-07T00:00:00.000Z,0.6,8.8,2.7,1.55,5.76,2.468,97
2021-04-08T00:00:00.000Z,1.12,70.31,6.82,2.84,33.97,19.5,180
2021-04-09T00:00:00.000Z,0.8,69.05,11.45,2.1,44.05,22.975,183
2021-04-10T00:00:00.000Z,1.2,46.72,7.1,1.99,19.1,12.875,161
2021-04-11T00:00:00.000Z,2.04,36.13,5.42,3.86,12.06,11.313,92
2021-04-12T00:00:00.000Z,1.52,41.78,4.15,2.92,5.78,4.659,73
2021-04-13T00:00:00.000Z,0.6,15.3,1.9,1,5.47,3.003,111
2021-04-14T00:00:00.000Z,0.95,12,2,1.67,3.15,2.65,122
2021-04-15T00:00:00.000Z,2.17,10.25,4.62,3.2,5.93,1.915,78
2021-04-16T00:00:00.000Z,0.7,13.45,4.88,2.54,6.4,2.587,127
2021-04-17T00:00:00.000Z,0.56,35.72,1.67,1.39,2.75,4.522,136
2021-04-18T00:00:00.000Z,0.7,26.33,7.6,3.45,13.73,6.297,131
2021-04-19T00:00:00.000Z,0.4,4.75,2.04,1.09,2.74,1.033,125
2021-04-20T00:00:00.000Z,1.38,6.05,2.22,2,2.65,0.933,23
2021-04-21T00:00:00.000Z,2.1,14.35,5.5,4.2,9.55,3.117,59
2021-04-22T00:00:00.000Z,0.7,39.42,6.9,1.38,9.6,9.526,115
2021-04-23T00:00:00.000Z,0.5,35.6,5.65,1.9,14.93,7.898,106
2021-04-24T00:00:00.000Z,0.95,38,3.8,2.17,6.48,4.598,125
2021-04-25T00:00:00.000Z,4.07,69.72,28.75,6.97,50.44,21.291,157
2021-04-26T00:00:00.000Z,4.82,59.22,14.05,8.27,24.54,17.294,125
2021-04-27T00:00:00.000Z,7.9,65.45,25.19,16.57,46.63,16.995,120
2021-04-28T00:00:00.000Z,1.08,37.67,14.39,10.07,17.67,10.225,120
